country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,saturated_fatty_acids_policy,trans_fatty_acids_policy,population_2020,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,animal_products_fat_supply,vegetal_products_fat_supply,sugar_sweeteners_fat_supply,Risk_factor_obese_2018,Risk_factor_all-rf_2018
Netherlands,106.2,117.3,5.3,4.4,84.5,12.9,685.7,47.9,No,No,Yes,Yes,Yes,17134.87,54341.03,19.26,56.65,1.28,19.76,53.65,39.2,0.0,4028.67,11623.83
Norway,82.3,131.8,1.1,3.5,31.0,62.5,640.1,85.3,No,Yes,Yes,Yes,Yes,5421.24,61924.34,21.91,57.11,1.25,20.52,48.0,43.29,0.0,1059.83,3689.17
Nepal,37.9,193.1,58.7,5.1,62.0,8.3,63.8,11.5,Yes,No,No,No,No,29136.81,3419.69,3.52,19.52,17.56,29.36,21.05,73.25,0.0,781.17,11911.5
Nauru,,,,,,,,,No,No,No,No,No,,8518.67,60.14,88.05,0.18,21.11,0.0,0.0,0.0,,
New Zealand,152.9,128.8,60.3,1.9,63.1,28.3,974.4,55.9,Yes,No,Don't know,No,No,4822.23,39934.45,29.25,64.53,1.12,16.99,54.28,31.21,0.0,1137.33,2999.33
Oman,120.6,154.9,42.8,17.4,27.6,32.3,402.8,43.3,Yes,Yes,Yes,Yes,Yes,5106.62,30565.87,26.59,61.35,4.25,24.88,44.86,50.3,0.0,500.0,1235.67
Pakistan,33.9,88.1,11.0,3.1,80.5,4.4,87.8,27.0,No,No,No,No,No,220892.33,4659.42,7.7,26.71,15.8,30.33,40.68,49.93,0.0,13573.0,86330.33
Panama,130.9,151.2,64.2,15.8,33.9,24.9,253.9,85.1,Yes,Yes,No,No,No,4314.77,27894.86,21.38,57.29,2.44,20.11,42.73,46.69,0.0,523.17,1543.17
Peru,227.8,95.6,33.6,7.3,34.5,42.9,319.2,108.9,Yes,Yes,Yes,Yes,Yes,32971.85,11930.22,18.62,56.06,1.34,14.34,34.97,62.23,0.0,2550.0,8952.67
Philippines,84.9,110.3,9.2,0.4,52.7,24.6,109.7,25.1,Yes,Yes,No,No,No,109581.09,7583.65,5.73,26.04,12.88,22.58,52.15,39.43,0.02,6112.5,42233.0
Palau,,,,,,,,,No,No,Yes,Yes,No,,14188.45,53.9,84.22,0.45,23.28,0.0,0.0,0.0,,
Papua New Guinea,3.9,81.9,5.1,0.1,114.8,0.0,38.2,240.8,Yes,No,No,No,No,8947.03,3529.09,19.75,51.0,2.45,25.03,0.0,0.0,0.0,1888.83,4622.5
Poland,234.9,178.7,2.9,3.6,21.4,19.2,651.4,69.3,Yes,No,Yes,Yes,Yes,37846.61,29245.89,21.98,57.2,1.76,29.28,53.12,34.02,0.0,15726.5,46096.33
Democratic People's Republic of Korea,,,,,,,,,No,No,No,No,No,25778.82,,6.14,31.11,6.87,18.22,0.0,0.0,0.0,,
Portugal,420.9,161.2,11.8,3.0,28.7,56.7,470.3,65.6,No,Yes,Yes,Yes,Yes,10196.71,32064.23,19.62,56.22,1.29,25.32,43.31,45.34,0.0,2815.17,8101.67
Paraguay,93.9,67.7,16.4,6.1,29.4,11.9,327.8,96.0,Yes,Yes,Yes,No,No,7132.53,11796.58,18.96,51.82,2.03,25.02,35.74,59.12,0.0,999.83,3026.0
State of Palestine,106.1,139.3,37.8,19.1,13.3,32.5,403.3,40.6,Yes,No,,,,5101.42,5668.27,30.98,65.4,1.4,22.85,0.0,0.0,0.0,855.67,1759.33
Qatar,123.1,168.9,38.0,20.3,15.9,34.3,396.1,39.9,Yes,Yes,Yes,Yes,Yes,2881.06,100441.51,36.34,71.0,1.7,22.06,0.0,0.0,0.0,190.67,389.0
Romania,194.2,358.2,33.1,10.8,5.2,41.4,1006.2,69.5,Yes,No,No,Yes,Yes,19237.68,25684.25,21.31,56.38,1.77,30.13,47.97,43.19,0.0,8722.0,29174.17
Russian Federation,90.4,180.9,1.0,16.6,88.8,34.7,615.2,183.9,No,No,Yes,Yes,Yes,145934.46,26280.31,21.76,55.97,1.82,28.13,48.67,43.27,0.0,81883.5,234164.17
Rwanda,122.6,281.1,80.1,7.0,27.4,24.8,35.0,4.7,Yes,No,No,No,No,12952.21,1950.06,4.93,23.01,10.29,26.51,21.11,75.31,0.0,348.0,2307.0
Saudi Arabia,146.6,147.0,55.7,25.3,24.3,45.8,374.7,40.4,Yes,Yes,Yes,Yes,Yes,34813.87,47572.5,34.93,68.74,2.17,23.69,28.14,67.17,0.0,5349.83,11605.67
Sudan,82.4,130.6,22.9,14.3,36.3,48.3,107.3,17.3,Yes,No,No,No,No,43849.27,4584.43,7.37,26.66,10.25,30.07,38.59,59.1,0.0,1898.83,13542.83
Senegal,52.4,73.1,18.2,7.5,70.7,44.1,44.9,7.7,Yes,Yes,No,No,No,16743.93,3073.29,7.69,26.35,12.06,30.39,11.41,87.17,0.0,664.0,3903.67
Singapore,134.2,152.2,15.6,2.6,8.1,50.2,74.6,44.7,No,No,Yes,Yes,Yes,5850.34,91189.77,5.76,31.16,6.28,15.53,0.0,0.0,0.0,145.0,1665.5
Solomon Islands,60.0,173.2,29.2,1.1,11.3,29.9,117.2,66.5,Yes,No,No,No,No,686.88,2301.51,20.92,53.12,1.74,21.79,23.86,69.14,0.0,240.0,611.83
Sierra Leone,89.3,119.1,22.0,2.5,64.7,48.3,45.2,10.0,No,No,No,No,No,7976.99,1680.19,7.75,26.15,10.76,30.58,11.82,86.9,0.0,386.33,2069.5
El Salvador,124.0,128.4,35.7,3.2,23.7,10.5,245.6,63.0,Yes,Yes,No,No,No,6486.2,8211.53,22.49,58.02,2.04,19.21,40.22,52.34,0.0,1080.33,3154.67
San Marino,,,,,,,,,No,No,Yes,Yes,No,,59826.24,,,,,0.0,0.0,0.0,,
Somalia,,,,,,,,,Yes,No,No,No,No,15893.22,915.85,7.32,26.66,11.23,33.0,0.0,0.0,0.0,,
Serbia,148.4,460.9,32.2,4.0,194.8,17.2,481.1,77.3,Yes,No,No,No,No,8737.37,16565.02,20.45,55.99,1.82,30.11,62.01,31.91,0.0,4364.0,11790.83
South Sudan,,,,,,,,,No,No,No,No,No,11193.73,1056.54,,,,,0.0,0.0,0.0,,
Sao Tome and Principe,128.9,36.2,8.6,8.9,25.0,73.9,142.7,7.8,Yes,Yes,No,No,No,219.16,3837.22,11.02,33.24,7.72,26.45,14.04,84.95,0.0,13.67,64.0
Suriname,103.3,180.3,71.7,15.4,39.6,25.0,243.5,75.5,No,Yes,No,No,No,586.63,18405.7,25.03,57.41,3.52,22.74,28.97,68.76,0.0,156.0,372.17
Slovakia,80.3,101.6,4.6,3.4,52.4,8.8,309.0,29.5,Yes,No,Yes,Yes,Yes,5459.64,29876.24,19.55,55.2,1.72,28.99,36.05,48.01,0.0,1889.17,7260.5
Slovenia,76.6,115.1,19.1,9.0,56.0,34.3,569.9,59.3,Yes,No,Yes,Yes,Yes,2078.93,35662.4,19.28,54.88,1.79,30.68,43.23,43.79,0.0,444.5,1783.67
Sweden,115.0,150.8,15.3,5.1,25.0,35.1,609.9,70.7,No,No,Yes,Yes,Yes,10099.27,51194.07,19.53,55.3,1.38,20.35,47.11,42.5,0.0,2151.5,8872.67
Eswatini,92.7,167.0,11.0,6.9,0.1,2.0,70.3,19.1,Yes,No,No,No,No,1160.16,8464.76,14.75,35.98,7.85,29.49,38.47,56.88,0.0,194.33,430.67
Seychelles,108.5,215.5,19.6,9.4,38.6,174.7,87.5,18.5,No,Yes,No,No,No,98.34,25517.21,13.02,35.31,6.85,23.66,0.0,0.0,0.0,14.67,53.83
Syrian Arab Republic,101.6,129.7,37.9,19.5,14.2,32.6,388.9,37.5,No,No,No,No,No,17500.66,,26.14,59.61,2.8,25.03,0.0,0.0,0.0,3932.0,10142.83
Chad,42.4,36.7,7.4,9.2,58.5,25.0,37.8,32.2,Yes,Yes,No,No,No,16425.86,1680.12,5.38,21.64,13.77,32.58,30.59,66.03,0.0,323.0,3050.17
Togo,54.8,148.5,13.7,9.3,61.7,53.9,23.4,13.4,Yes,Yes,No,No,No,8278.74,1949.85,7.37,26.2,10.24,29.0,10.08,88.16,0.0,368.33,2005.0
Thailand,97.2,175.6,41.9,1.3,18.1,45.8,92.6,35.0,Yes,Yes,Yes,No,Yes,69799.98,16657.62,8.55,29.92,9.4,22.35,37.49,58.68,0.0,5102.67,30706.67
Tajikistan,90.7,53.8,58.2,5.1,46.4,6.6,188.2,51.5,Yes,No,Yes,No,No,9537.64,2962.67,12.88,43.48,4.1,25.82,25.33,72.43,0.0,1250.67,5556.17
Turkmenistan,68.6,107.1,32.8,0.8,112.9,11.9,693.6,92.0,Yes,No,Yes,Yes,Yes,6031.19,15564.02,16.99,49.92,3.1,25.49,58.89,33.0,0.0,1081.0,4053.0
Timor-Leste,52.0,140.8,8.7,1.6,19.0,25.5,68.2,19.0,No,No,Yes,Yes,Yes,1318.44,3189.15,3.24,19.9,17.01,27.47,33.75,63.41,0.0,35.67,535.67
Tonga,130.4,139.4,39.2,3.3,11.9,50.6,106.8,30.7,No,Yes,No,No,No,105.7,5470.4,46.23,77.29,0.32,23.23,0.0,0.0,0.0,46.0,72.83
Trinidad and Tobago,68.5,86.5,37.6,9.5,28.0,25.3,204.6,72.8,No,No,No,No,No,1399.49,27079.0,16.98,43.98,4.15,25.36,41.34,52.07,0.0,495.5,1397.0
Tunisia,64.0,198.0,15.2,6.5,1.5,38.3,279.1,41.7,Yes,Yes,Yes,Yes,Yes,11818.62,10208.93,25.22,59.9,3.4,23.79,22.92,72.97,0.0,2798.33,8217.5
Turkey,79.8,112.9,31.3,11.1,2.6,6.2,660.3,45.0,Yes,No,Yes,Yes,Yes,84339.07,26480.86,30.11,65.12,1.54,21.08,24.42,71.45,0.0,21437.83,50482.17
Tuvalu,,,,,,,,,No,No,No,No,No,,3964.63,49.77,80.65,0.42,23.84,0.0,0.0,0.0,,
United Republic of Tanzania,65.8,169.3,33.9,16.4,135.4,26.6,54.0,27.1,Yes,Yes,No,Don't know,Don't know,59734.21,2449.36,7.39,25.85,11.58,27.08,13.64,83.7,0.0,1895.0,9709.83
Uganda,55.6,110.7,45.2,7.7,27.3,11.6,65.6,10.9,Yes,Yes,No,No,No,45741.0,2347.14,4.63,21.04,11.7,26.82,23.65,74.51,0.0,651.17,6554.33
Ukraine,94.1,183.4,8.9,12.8,67.0,31.6,539.7,39.0,No,No,No,No,No,43733.76,12341.19,22.92,57.44,1.51,27.86,48.32,44.9,0.0,32735.0,104172.0
Uruguay,97.0,162.7,45.0,25.5,37.9,23.9,318.1,79.9,Yes,Yes,Yes,No,Yes,3473.73,21781.44,26.53,61.57,1.13,21.77,47.53,47.84,0.0,1150.0,2937.67
United States of America,86.8,128.6,19.5,11.5,19.6,11.2,513.0,35.7,No,No,Yes,Yes,Yes,331002.65,58978.44,34.57,66.68,1.31,13.17,39.1,56.87,0.0,114686.17,282234.33
Uzbekistan,83.6,214.7,33.4,3.2,52.4,47.4,589.0,107.0,Yes,No,Yes,No,Yes,33469.2,6588.91,15.07,46.38,3.4,25.4,49.49,46.88,0.0,7551.17,26711.0
Saint Vincent and the Grenadines,143.5,104.3,46.3,6.2,20.0,31.9,257.5,49.0,No,Yes,Yes,No,No,110.95,11871.03,22.2,53.13,3.87,23.61,47.85,47.41,0.0,38.83,107.67
Venezuela (Bolivarian Republic of),108.1,91.0,39.5,0.8,28.0,11.1,325.1,57.8,Yes,No,No,No,No,28435.94,13592.55,24.55,62.35,1.51,19.37,30.38,66.95,0.0,3478.33,15297.67
Viet Nam,82.6,177.1,99.5,21.1,26.3,61.1,68.1,51.8,Yes,No,Yes,No,No,97338.58,8654.12,1.75,16.57,18.83,23.19,0.0,0.0,0.0,1866.17,40791.83
Vanuatu,41.3,71.4,67.3,3.9,24.3,41.3,88.1,43.7,No,Yes,No,No,No,307.15,2631.22,23.53,55.31,2.06,23.96,27.88,69.21,0.0,86.0,212.67
Samoa,140.3,336.4,231.1,26.1,10.6,44.4,176.8,27.4,No,Yes,Yes,No,No,198.41,5368.8,45.86,76.66,0.33,23.51,38.58,55.79,0.0,97.5,141.5
Yemen,39.3,58.5,28.9,3.4,20.3,10.8,200.1,22.9,Yes,No,No,No,No,29825.97,2599.94,15.43,46.52,7.15,30.54,23.07,74.2,0.0,4299.67,13034.0
South Africa,32.7,131.8,32.3,0.2,68.6,5.0,133.9,148.6,Yes,Yes,Yes,No,Yes,59308.69,13697.11,26.04,51.23,5.13,27.25,38.69,59.85,0.0,13383.33,29563.67
Zambia,51.2,195.8,20.6,19.7,55.7,43.9,42.5,41.2,Yes,Yes,No,No,No,18383.96,3309.54,7.22,26.26,11.7,27.2,17.59,80.12,0.0,656.5,3549.33
Zimbabwe,83.4,141.2,18.9,3.1,152.4,18.6,97.8,27.1,Yes,No,No,No,No,14862.93,2291.12,14.21,36.36,8.31,28.17,17.8,78.91,0.0,1804.67,4640.5
Bolivia,,,,,,,,,,,,,,,,,,,,56.68,37.51,0.0,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,10.38,85.23,0.0,,
French Polynesia,,,,,,,,,,,,,,,,,,,,45.65,47.89,0.0,,
"Korea, North",,,,,,,,,,,,,,,,,,,,22.93,75.64,0.0,,
"Korea, South",,,,,,,,,,,,,,,,,,,,35.79,58.81,0.0,,
New Caledonia,,,,,,,,,,,,,,,,,,,,40.88,53.49,0.0,,
Taiwan*,,,,,,,,,,,,,,,,,,,,35.94,60.42,0.0,,
United Kingdom,,,,,,,,,,,,,,,,,,,,47.47,46.31,0.0,,
Vietnam,,,,,,,,,,,,,,,,,,,,62.67,32.04,0.0,,
